combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp
441830,64,64,6,1.3,0.001,0.02,3,256,256,0.6800000000000004,0.8532391771568928,0.7191539365452408,success,2025-12-05 14:20:06
428146,64,64,4,1.0,0.0005,0.025,2,1024,128,0.7800000000000005,0.8449493398833282,0.7065659500290529,success,2025-12-05 14:20:31
418817,64,48,7,1.3,0.0001,0.015,1,256,256,0.6500000000000004,0.854467301197421,0.7168458781362007,success,2025-12-05 14:22:18
436735,64,64,5,1.5,0.0001,0.005,2,256,128,0.5800000000000003,0.8394227817009517,0.7076579094466182,success,2025-12-05 14:24:16
439354,64,64,6,1.0,0.0005,0.02,3,256,128,0.5800000000000003,0.8563094872582131,0.7197604790419162,success,2025-12-05 14:25:58
417733,64,48,7,1.2,0.0001,0.015,5,1024,128,0.7500000000000004,0.8658274485723058,0.7253299811439347,success,2025-12-05 14:26:45
419858,64,48,7,1.5,0.0001,0.005,1,1024,256,0.6100000000000003,0.8366595026097636,0.6931949250288351,success,2025-12-05 14:27:32
407705,64,48,5,1.3,0.0005,0.005,1,512,256,0.6800000000000004,0.8578446423088733,0.7175106772422208,success,2025-12-05 14:29:05
408029,64,48,5,1.3,0.001,0.015,2,512,256,0.6400000000000003,0.8523180841264968,0.719533527696793,success,2025-12-05 14:29:58
441943,64,64,6,1.3,0.01,0.005,5,1024,128,0.6400000000000003,0.8526251151366288,0.7192982456140351,success,2025-12-05 14:31:04
418267,64,48,7,1.2,0.001,0.025,5,256,128,0.6100000000000003,0.8446423088731962,0.7115165336374002,success,2025-12-05 14:33:09
407624,64,48,5,1.3,0.0001,0.02,2,512,256,0.6600000000000004,0.8535462081670249,0.7241179872758821,success,2025-12-05 14:34:14
427664,64,64,4,1.0,0.0,0.02,4,256,256,0.6700000000000004,0.8581516733190052,0.721351025331725,success,2025-12-05 14:35:20
412262,64,48,6,1.2,0.0005,0.01,2,1024,256,0.6500000000000004,0.8599938593797973,0.7135678391959799,success,2025-12-05 14:36:13
447252,64,64,7,1.3,0.0005,0.02,5,1024,64,0.6500000000000004,0.8590727663494013,0.7196090409285278,success,2025-12-05 14:37:34
407296,64,48,5,1.3,0.0,0.01,1,256,128,0.6800000000000004,0.8618360454405894,0.71875,success,2025-12-05 14:39:56
443469,64,64,6,1.8,0.0,0.025,5,512,64,0.7000000000000004,0.8624501074608536,0.7168141592920354,success,2025-12-05 14:42:09
438213,64,64,5,1.8,0.0005,0.02,1,512,64,0.6000000000000003,0.8489407430150445,0.7129521586931156,success,2025-12-05 14:43:33
436863,64,64,5,1.5,0.0001,0.02,1,512,64,0.6300000000000003,0.8415719987718759,0.7094594594594594,success,2025-12-05 14:44:34
414545,64,48,6,1.5,0.0005,0.015,1,512,256,0.6400000000000003,0.8492477740251766,0.7156919513607412,success,2025-12-05 14:45:36
416605,64,48,7,1.0,0.0001,0.015,5,512,128,0.6400000000000003,0.8572305802886091,0.7213900539245057,success,2025-12-05 14:47:00
409741,64,48,5,1.8,0.0001,0.005,2,1024,128,0.6800000000000004,0.8590727663494013,0.7125860989355041,success,2025-12-05 14:47:56
426960,64,64,3,1.8,0.0005,0.02,1,256,64,0.6400000000000003,0.8458704329137243,0.7226519337016575,success,2025-12-05 14:48:54
436470,64,64,5,1.3,0.01,0.025,2,1024,64,0.6200000000000003,0.8486337120049124,0.7178019461934745,success,2025-12-05 14:50:02
420158,64,48,7,1.5,0.0005,0.01,5,256,256,0.6200000000000003,0.8489407430150445,0.7142857142857143,success,2025-12-05 14:53:17
410533,64,48,5,1.8,0.01,0.015,5,1024,128,0.5700000000000003,0.8501688670555726,0.7182448036951501,success,2025-12-05 14:54:14
448906,64,64,7,1.8,0.0,0.005,4,512,128,0.6400000000000003,0.8308259134172551,0.6895774647887324,success,2025-12-05 14:55:38
423552,64,64,3,1.2,0.0005,0.015,2,512,64,0.7100000000000004,0.8652133865520417,0.7240729101194218,success,2025-12-05 14:56:29
428394,64,64,4,1.0,0.001,0.025,5,512,64,0.7800000000000005,0.8649063555419098,0.7215189873417721,success,2025-12-05 14:57:12
445148,64,64,7,1.0,0.001,0.015,1,1024,256,0.7300000000000004,0.8639852625115136,0.7205047318611988,success,2025-12-05 14:57:56
446696,64,64,7,1.3,0.0,0.01,3,1024,256,0.7100000000000004,0.869204789683758,0.7347447073474471,success,2025-12-05 14:58:47
442869,64,64,6,1.5,0.001,0.01,3,1024,64,0.7000000000000004,0.8572305802886091,0.7102803738317757,success,2025-12-05 14:59:46
411184,64,48,6,1.0,0.0005,0.015,3,256,128,0.6700000000000004,0.8609149524101934,0.7229357798165138,success,2025-12-05 15:02:28
433061,64,64,4,1.8,0.01,0.02,3,1024,256,0.6300000000000003,0.8477126189745164,0.7168949771689498,success,2025-12-05 15:03:12
437098,64,64,5,1.5,0.0005,0.02,2,512,128,0.6100000000000003,0.8510899600859687,0.717201166180758,success,2025-12-05 15:04:08
432638,64,64,4,1.8,0.0005,0.025,1,1024,256,0.6400000000000003,0.8618360454405894,0.71875,success,2025-12-05 15:04:41
429012,64,64,4,1.2,0.0001,0.02,4,256,64,0.6800000000000004,0.8538532391771569,0.7149700598802395,success,2025-12-05 15:06:00
406114,64,48,5,1.0,0.01,0.025,4,1024,128,0.7500000000000004,0.8431071538225361,0.7140458869613878,success,2025-12-05 15:06:29
424016,64,64,3,1.2,0.01,0.015,3,1024,256,0.6600000000000004,0.8575376112987412,0.7142857142857143,success,2025-12-05 15:06:55
411605,64,48,6,1.0,0.01,0.01,4,1024,256,0.6900000000000004,0.8566165182683451,0.7270601987142022,success,2025-12-05 15:07:32
445243,64,64,7,1.0,0.001,0.025,2,512,128,0.6400000000000003,0.8556954252379491,0.7218934911242604,success,2025-12-05 15:09:03
421027,64,48,7,1.8,0.0001,0.01,1,1024,128,0.6600000000000004,0.8495548050353086,0.7001223990208079,success,2025-12-05 15:10:19
418602,64,48,7,1.3,0.0,0.015,2,512,64,0.5800000000000003,0.8483266809947805,0.7209039548022599,success,2025-12-05 15:12:17
413279,64,48,6,1.3,0.0001,0.02,5,1024,256,0.6000000000000003,0.854774332207553,0.715915915915916,success,2025-12-05 15:13:04
408189,64,48,5,1.3,0.01,0.005,5,512,64,0.6200000000000003,0.8513969910961007,0.714622641509434,success,2025-12-05 15:14:31
422102,64,64,3,1.0,0.0001,0.005,1,256,256,0.6200000000000003,0.8513969910961007,0.7211981566820277,success,2025-12-05 15:15:38
413908,64,48,6,1.3,0.01,0.015,5,1024,128,0.5900000000000003,0.8486337120049124,0.7187678265830005,success,2025-12-05 15:16:15
426865,64,64,3,1.8,0.0005,0.005,5,512,128,0.6800000000000004,0.8627571384709856,0.718336483931947,success,2025-12-05 15:16:45
435878,64,64,5,1.3,0.0005,0.01,1,1024,256,0.6400000000000003,0.856002456248081,0.7196652719665272,success,2025-12-05 15:17:19
422704,64,64,3,1.0,0.001,0.02,3,256,128,0.6200000000000003,0.8603008903899294,0.7250755287009063,success,2025-12-05 15:18:18
442968,64,64,6,1.5,0.001,0.02,4,1024,64,0.6900000000000004,0.8606079214000614,0.719059405940594,success,2025-12-05 15:19:25
408705,64,48,5,1.5,0.0001,0.015,2,1024,64,0.6400000000000003,0.8483266809947805,0.7066508313539193,success,2025-12-05 15:20:16
421109,64,48,7,1.8,0.0001,0.015,5,1024,256,0.6100000000000003,0.8381946576604237,0.7000569151963574,success,2025-12-05 15:21:00
427877,64,64,4,1.0,0.0001,0.02,2,1024,256,0.6200000000000003,0.8394227817009517,0.7115278543849972,success,2025-12-05 15:21:30
432917,64,64,4,1.8,0.01,0.005,2,1024,256,0.5700000000000003,0.8415719987718759,0.7146017699115044,success,2025-12-05 15:22:18
406000,64,48,5,1.0,0.01,0.015,2,256,128,0.6400000000000003,0.8455634019035922,0.7094165222414789,success,2025-12-05 15:24:57
409243,64,48,5,1.5,0.001,0.025,2,512,128,0.7100000000000004,0.8645993245317777,0.7210626185958254,success,2025-12-05 15:25:59
427531,64,64,4,1.0,0.0,0.005,4,512,128,0.6800000000000004,0.855081363217685,0.7135922330097088,success,2025-12-05 15:26:43
414084,64,48,6,1.5,0.0,0.01,5,512,64,0.6900000000000004,0.856002456248081,0.7135003054367746,success,2025-12-05 15:28:25
408125,64,48,5,1.3,0.001,0.025,3,256,256,0.6800000000000004,0.8535462081670249,0.7266475644699141,success,2025-12-05 15:29:52
442839,64,64,6,1.5,0.001,0.005,5,512,64,0.6700000000000004,0.8538532391771569,0.7115151515151515,success,2025-12-05 15:31:46
424316,64,64,3,1.3,0.0,0.025,2,256,256,0.5900000000000003,0.8492477740251766,0.7183017785427424,success,2025-12-05 15:32:55
427715,64,64,4,1.0,0.0,0.025,4,1024,256,0.7400000000000004,0.8513969910961007,0.7132701421800948,success,2025-12-05 15:33:17
407730,64,48,5,1.3,0.0005,0.005,4,512,64,0.6600000000000004,0.8606079214000614,0.7214723926380369,success,2025-12-05 15:34:40
405672,64,48,5,1.0,0.0005,0.025,5,1024,64,0.6700000000000004,0.8606079214000614,0.7187112763320942,success,2025-12-05 15:35:18
435457,64,64,5,1.3,0.0,0.01,5,256,128,0.6400000000000003,0.8520110531163647,0.7137767220902613,success,2025-12-05 15:36:47
406655,64,48,5,1.2,0.0005,0.01,4,1024,256,0.6000000000000003,0.854774332207553,0.7196206283343213,success,2025-12-05 15:37:21
430631,64,64,4,1.3,0.001,0.025,3,1024,256,0.7200000000000004,0.8639852625115136,0.7147456535737282,success,2025-12-05 15:37:48
429953,64,64,4,1.3,0.0,0.025,3,512,256,0.6300000000000003,0.8489407430150445,0.718213058419244,success,2025-12-05 15:38:28
445019,64,64,7,1.0,0.0005,0.025,2,512,256,0.6500000000000004,0.8566165182683451,0.711550339715874,success,2025-12-05 15:39:33
431447,64,64,4,1.5,0.0005,0.015,4,512,256,0.6900000000000004,0.8655204175621738,0.7259073842302879,success,2025-12-05 15:40:13
412732,64,48,6,1.2,0.01,0.01,5,256,128,0.5900000000000003,0.8443352778630642,0.7140439932318104,success,2025-12-05 15:42:01
429743,64,64,4,1.2,0.01,0.025,5,256,256,0.6200000000000003,0.8480196499846484,0.7146974063400576,success,2025-12-05 15:43:12
409730,64,48,5,1.8,0.0001,0.005,1,512,256,0.6400000000000003,0.8526251151366288,0.7132616487455197,success,2025-12-05 15:44:31
429106,64,64,4,1.2,0.0005,0.005,4,512,128,0.6900000000000004,0.8633712004912496,0.7223955084217093,success,2025-12-05 15:45:26
435240,64,64,5,1.2,0.01,0.015,1,256,64,0.6700000000000004,0.8523180841264968,0.7208357515960534,success,2025-12-05 15:47:01
438330,64,64,5,1.8,0.001,0.005,4,512,64,0.7000000000000004,0.8578446423088733,0.7067764407853071,success,2025-12-05 15:48:44
417892,64,48,7,1.2,0.0005,0.01,3,512,128,0.7000000000000004,0.8649063555419098,0.7215189873417721,success,2025-12-05 15:50:19
444481,64,64,7,1.0,0.0,0.015,2,1024,128,0.7000000000000004,0.8513969910961007,0.7192575406032483,success,2025-12-05 15:51:05
442547,64,64,6,1.5,0.0001,0.025,2,1024,256,0.6500000000000004,0.8520110531163647,0.7207415990730012,success,2025-12-05 15:51:58
428029,64,64,4,1.0,0.0005,0.01,4,1024,128,0.7500000000000004,0.8510899600859687,0.719166184134337,success,2025-12-05 15:52:28
412949,64,48,6,1.3,0.0,0.01,4,256,256,0.6300000000000003,0.8569235492784771,0.7192771084337349,success,2025-12-05 15:53:57
435227,64,64,5,1.2,0.01,0.01,4,512,256,0.7100000000000004,0.8581516733190052,0.7144622991347342,success,2025-12-05 15:54:35
437891,64,64,5,1.8,0.0001,0.005,5,512,256,0.6800000000000004,0.8569235492784771,0.7134071340713407,success,2025-12-05 15:56:05
406219,64,48,5,1.2,0.0,0.015,1,512,128,0.6200000000000003,0.8603008903899294,0.7260686333534015,success,2025-12-05 15:56:47
