combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
270251,48,32,6,1.0,0.0001,0.005,3,1024,256
270252,48,32,6,1.0,0.0001,0.005,4,256,64
270253,48,32,6,1.0,0.0001,0.005,4,256,128
270254,48,32,6,1.0,0.0001,0.005,4,256,256
270255,48,32,6,1.0,0.0001,0.005,4,512,64
270256,48,32,6,1.0,0.0001,0.005,4,512,128
270257,48,32,6,1.0,0.0001,0.005,4,512,256
270258,48,32,6,1.0,0.0001,0.005,4,1024,64
270259,48,32,6,1.0,0.0001,0.005,4,1024,128
270260,48,32,6,1.0,0.0001,0.005,4,1024,256
270261,48,32,6,1.0,0.0001,0.005,5,256,64
270262,48,32,6,1.0,0.0001,0.005,5,256,128
270263,48,32,6,1.0,0.0001,0.005,5,256,256
270264,48,32,6,1.0,0.0001,0.005,5,512,64
270265,48,32,6,1.0,0.0001,0.005,5,512,128
270266,48,32,6,1.0,0.0001,0.005,5,512,256
270267,48,32,6,1.0,0.0001,0.005,5,1024,64
270268,48,32,6,1.0,0.0001,0.005,5,1024,128
270269,48,32,6,1.0,0.0001,0.005,5,1024,256
270270,48,32,6,1.0,0.0001,0.01,1,256,64
270271,48,32,6,1.0,0.0001,0.01,1,256,128
270272,48,32,6,1.0,0.0001,0.01,1,256,256
270273,48,32,6,1.0,0.0001,0.01,1,512,64
270274,48,32,6,1.0,0.0001,0.01,1,512,128
270275,48,32,6,1.0,0.0001,0.01,1,512,256
270276,48,32,6,1.0,0.0001,0.01,1,1024,64
270277,48,32,6,1.0,0.0001,0.01,1,1024,128
270278,48,32,6,1.0,0.0001,0.01,1,1024,256
270279,48,32,6,1.0,0.0001,0.01,2,256,64
270280,48,32,6,1.0,0.0001,0.01,2,256,128
270281,48,32,6,1.0,0.0001,0.01,2,256,256
270282,48,32,6,1.0,0.0001,0.01,2,512,64
270283,48,32,6,1.0,0.0001,0.01,2,512,128
270284,48,32,6,1.0,0.0001,0.01,2,512,256
270285,48,32,6,1.0,0.0001,0.01,2,1024,64
270286,48,32,6,1.0,0.0001,0.01,2,1024,128
270287,48,32,6,1.0,0.0001,0.01,2,1024,256
270288,48,32,6,1.0,0.0001,0.01,3,256,64
270289,48,32,6,1.0,0.0001,0.01,3,256,128
270290,48,32,6,1.0,0.0001,0.01,3,256,256
270291,48,32,6,1.0,0.0001,0.01,3,512,64
270292,48,32,6,1.0,0.0001,0.01,3,512,128
270293,48,32,6,1.0,0.0001,0.01,3,512,256
270294,48,32,6,1.0,0.0001,0.01,3,1024,64
270295,48,32,6,1.0,0.0001,0.01,3,1024,128
270296,48,32,6,1.0,0.0001,0.01,3,1024,256
270297,48,32,6,1.0,0.0001,0.01,4,256,64
270298,48,32,6,1.0,0.0001,0.01,4,256,128
270299,48,32,6,1.0,0.0001,0.01,4,256,256
270300,48,32,6,1.0,0.0001,0.01,4,512,64
270301,48,32,6,1.0,0.0001,0.01,4,512,128
270302,48,32,6,1.0,0.0001,0.01,4,512,256
270303,48,32,6,1.0,0.0001,0.01,4,1024,64
270304,48,32,6,1.0,0.0001,0.01,4,1024,128
270305,48,32,6,1.0,0.0001,0.01,4,1024,256
270306,48,32,6,1.0,0.0001,0.01,5,256,64
270307,48,32,6,1.0,0.0001,0.01,5,256,128
270308,48,32,6,1.0,0.0001,0.01,5,256,256
270309,48,32,6,1.0,0.0001,0.01,5,512,64
270310,48,32,6,1.0,0.0001,0.01,5,512,128
270311,48,32,6,1.0,0.0001,0.01,5,512,256
270312,48,32,6,1.0,0.0001,0.01,5,1024,64
270313,48,32,6,1.0,0.0001,0.01,5,1024,128
270314,48,32,6,1.0,0.0001,0.01,5,1024,256
270315,48,32,6,1.0,0.0001,0.015,1,256,64
270316,48,32,6,1.0,0.0001,0.015,1,256,128
270317,48,32,6,1.0,0.0001,0.015,1,256,256
270318,48,32,6,1.0,0.0001,0.015,1,512,64
270319,48,32,6,1.0,0.0001,0.015,1,512,128
270320,48,32,6,1.0,0.0001,0.015,1,512,256
270321,48,32,6,1.0,0.0001,0.015,1,1024,64
270322,48,32,6,1.0,0.0001,0.015,1,1024,128
270323,48,32,6,1.0,0.0001,0.015,1,1024,256
270324,48,32,6,1.0,0.0001,0.015,2,256,64
270325,48,32,6,1.0,0.0001,0.015,2,256,128
270326,48,32,6,1.0,0.0001,0.015,2,256,256
270327,48,32,6,1.0,0.0001,0.015,2,512,64
270328,48,32,6,1.0,0.0001,0.015,2,512,128
270329,48,32,6,1.0,0.0001,0.015,2,512,256
270330,48,32,6,1.0,0.0001,0.015,2,1024,64
270331,48,32,6,1.0,0.0001,0.015,2,1024,128
270332,48,32,6,1.0,0.0001,0.015,2,1024,256
270333,48,32,6,1.0,0.0001,0.015,3,256,64
270334,48,32,6,1.0,0.0001,0.015,3,256,128
270335,48,32,6,1.0,0.0001,0.015,3,256,256
270336,48,32,6,1.0,0.0001,0.015,3,512,64
270337,48,32,6,1.0,0.0001,0.015,3,512,128
270338,48,32,6,1.0,0.0001,0.015,3,512,256
270339,48,32,6,1.0,0.0001,0.015,3,1024,64
270340,48,32,6,1.0,0.0001,0.015,3,1024,128
270341,48,32,6,1.0,0.0001,0.015,3,1024,256
270342,48,32,6,1.0,0.0001,0.015,4,256,64
270343,48,32,6,1.0,0.0001,0.015,4,256,128
270344,48,32,6,1.0,0.0001,0.015,4,256,256
270345,48,32,6,1.0,0.0001,0.015,4,512,64
270346,48,32,6,1.0,0.0001,0.015,4,512,128
270347,48,32,6,1.0,0.0001,0.015,4,512,256
270348,48,32,6,1.0,0.0001,0.015,4,1024,64
270349,48,32,6,1.0,0.0001,0.015,4,1024,128
270350,48,32,6,1.0,0.0001,0.015,4,1024,256
270351,48,32,6,1.0,0.0001,0.015,5,256,64
270352,48,32,6,1.0,0.0001,0.015,5,256,128
270353,48,32,6,1.0,0.0001,0.015,5,256,256
270354,48,32,6,1.0,0.0001,0.015,5,512,64
270355,48,32,6,1.0,0.0001,0.015,5,512,128
270356,48,32,6,1.0,0.0001,0.015,5,512,256
270357,48,32,6,1.0,0.0001,0.015,5,1024,64
270358,48,32,6,1.0,0.0001,0.015,5,1024,128
270359,48,32,6,1.0,0.0001,0.015,5,1024,256
270360,48,32,6,1.0,0.0001,0.02,1,256,64
270361,48,32,6,1.0,0.0001,0.02,1,256,128
270362,48,32,6,1.0,0.0001,0.02,1,256,256
270363,48,32,6,1.0,0.0001,0.02,1,512,64
270364,48,32,6,1.0,0.0001,0.02,1,512,128
270365,48,32,6,1.0,0.0001,0.02,1,512,256
270366,48,32,6,1.0,0.0001,0.02,1,1024,64
270367,48,32,6,1.0,0.0001,0.02,1,1024,128
270368,48,32,6,1.0,0.0001,0.02,1,1024,256
270369,48,32,6,1.0,0.0001,0.02,2,256,64
270370,48,32,6,1.0,0.0001,0.02,2,256,128
270371,48,32,6,1.0,0.0001,0.02,2,256,256
270372,48,32,6,1.0,0.0001,0.02,2,512,64
270373,48,32,6,1.0,0.0001,0.02,2,512,128
270374,48,32,6,1.0,0.0001,0.02,2,512,256
270375,48,32,6,1.0,0.0001,0.02,2,1024,64
270376,48,32,6,1.0,0.0001,0.02,2,1024,128
270377,48,32,6,1.0,0.0001,0.02,2,1024,256
270378,48,32,6,1.0,0.0001,0.02,3,256,64
270379,48,32,6,1.0,0.0001,0.02,3,256,128
270380,48,32,6,1.0,0.0001,0.02,3,256,256
270381,48,32,6,1.0,0.0001,0.02,3,512,64
270382,48,32,6,1.0,0.0001,0.02,3,512,128
270383,48,32,6,1.0,0.0001,0.02,3,512,256
270384,48,32,6,1.0,0.0001,0.02,3,1024,64
270385,48,32,6,1.0,0.0001,0.02,3,1024,128
270386,48,32,6,1.0,0.0001,0.02,3,1024,256
270387,48,32,6,1.0,0.0001,0.02,4,256,64
270388,48,32,6,1.0,0.0001,0.02,4,256,128
270389,48,32,6,1.0,0.0001,0.02,4,256,256
270390,48,32,6,1.0,0.0001,0.02,4,512,64
270391,48,32,6,1.0,0.0001,0.02,4,512,128
270392,48,32,6,1.0,0.0001,0.02,4,512,256
270393,48,32,6,1.0,0.0001,0.02,4,1024,64
270394,48,32,6,1.0,0.0001,0.02,4,1024,128
270395,48,32,6,1.0,0.0001,0.02,4,1024,256
270396,48,32,6,1.0,0.0001,0.02,5,256,64
270397,48,32,6,1.0,0.0001,0.02,5,256,128
270398,48,32,6,1.0,0.0001,0.02,5,256,256
270399,48,32,6,1.0,0.0001,0.02,5,512,64
270400,48,32,6,1.0,0.0001,0.02,5,512,128
270401,48,32,6,1.0,0.0001,0.02,5,512,256
270402,48,32,6,1.0,0.0001,0.02,5,1024,64
270403,48,32,6,1.0,0.0001,0.02,5,1024,128
270404,48,32,6,1.0,0.0001,0.02,5,1024,256
270405,48,32,6,1.0,0.0001,0.025,1,256,64
270406,48,32,6,1.0,0.0001,0.025,1,256,128
270407,48,32,6,1.0,0.0001,0.025,1,256,256
270408,48,32,6,1.0,0.0001,0.025,1,512,64
270409,48,32,6,1.0,0.0001,0.025,1,512,128
270410,48,32,6,1.0,0.0001,0.025,1,512,256
270411,48,32,6,1.0,0.0001,0.025,1,1024,64
270412,48,32,6,1.0,0.0001,0.025,1,1024,128
270413,48,32,6,1.0,0.0001,0.025,1,1024,256
270414,48,32,6,1.0,0.0001,0.025,2,256,64
270415,48,32,6,1.0,0.0001,0.025,2,256,128
270416,48,32,6,1.0,0.0001,0.025,2,256,256
270417,48,32,6,1.0,0.0001,0.025,2,512,64
270418,48,32,6,1.0,0.0001,0.025,2,512,128
270419,48,32,6,1.0,0.0001,0.025,2,512,256
270420,48,32,6,1.0,0.0001,0.025,2,1024,64
270421,48,32,6,1.0,0.0001,0.025,2,1024,128
270422,48,32,6,1.0,0.0001,0.025,2,1024,256
270423,48,32,6,1.0,0.0001,0.025,3,256,64
270424,48,32,6,1.0,0.0001,0.025,3,256,128
270425,48,32,6,1.0,0.0001,0.025,3,256,256
270426,48,32,6,1.0,0.0001,0.025,3,512,64
270427,48,32,6,1.0,0.0001,0.025,3,512,128
270428,48,32,6,1.0,0.0001,0.025,3,512,256
270429,48,32,6,1.0,0.0001,0.025,3,1024,64
270430,48,32,6,1.0,0.0001,0.025,3,1024,128
270431,48,32,6,1.0,0.0001,0.025,3,1024,256
270432,48,32,6,1.0,0.0001,0.025,4,256,64
270433,48,32,6,1.0,0.0001,0.025,4,256,128
270434,48,32,6,1.0,0.0001,0.025,4,256,256
270435,48,32,6,1.0,0.0001,0.025,4,512,64
270436,48,32,6,1.0,0.0001,0.025,4,512,128
270437,48,32,6,1.0,0.0001,0.025,4,512,256
270438,48,32,6,1.0,0.0001,0.025,4,1024,64
270439,48,32,6,1.0,0.0001,0.025,4,1024,128
270440,48,32,6,1.0,0.0001,0.025,4,1024,256
270441,48,32,6,1.0,0.0001,0.025,5,256,64
270442,48,32,6,1.0,0.0001,0.025,5,256,128
270443,48,32,6,1.0,0.0001,0.025,5,256,256
270444,48,32,6,1.0,0.0001,0.025,5,512,64
